cusip,comp_conm,tic,factiva_tag,factiva_name,sim
41145X10,HARBOR ACQUISITION CORP,HAC,hrbac,Harbor Acquisition Corp.,1
41163110,HARCOURT BRACE JOVANOVICH,HBJ,hbjov,"Harcourt Brace & Co, hbjovx",0.727272727272727
41190110,HARBOR FLORIDA BANCSHARES,HARB,harbsv,Harbor Florida Bancshares Inc,0.92
41232430,HARDINGE INC,HDNG,hbmti,Hardinge Inc,1
41282210,HARLEY-DAVIDSON INC,HOG,hdav,"Harley-Davidson Inc, hdavx",0.878048780487805
41282410,HARLEYSVILLE GROUP INC,HGIC,harlgi,"Harleysville Group Inc, harlgix",0.857142857142857
41285010,HARLEYSVILLE NATL CORP/PA,HNBC,harln,Harleysville National Corp,0.909090909090909
41308610,HARMAN INTERNATIONAL INDS,HAR,harint,Harman International Industries Inc,0.736842105263158
41313610,HARMON INDUSTRIES INC,HRMN.1,sabhar,"Harmon Industries Inc, sabharx",0.851063829787234
41316010,HARMONIC INC,HLIT,hmligh,Harmonic Inc,1
41318810,HARMONY BROOK INC,HBRK.,hrmbro,Harmony Brook Inc,1
41322310,HARMONY HOLDINGS INC,HAHO,hhols,"HARMONY HOLDINGS INC, hholsx",0.863636363636364
41328920,HARMONY PRODUCTS INC,3HRMY.,hrmprd,"Harmony Products Inc, hrmprdx",0.844444444444445
41380110,HARRINGTON FINL GROUP INC,HFGI,hfgi,Harrington Financial Group Inc,0.901960784313725
41454910,HARRIS INTERACTIVE INC,HPOL,hrrsin,Harris Interactive Inc.,1
41458510,HARRIS TEETER SUPERMARKETS,HTSI,,,
41585810,HARROW HEALTH INC,HROW,,,
41586410,HARSCO CORP,HSC,hrsco,"Harsco Corporation, hrscox",0.606060606060606
41619620,HARTE HANKS INC,HHS,hhn,Harte-Hanks Inc,1
41651510,HARTFORD FINANCIAL SERVICES,HIG,itthe,The Hartford Financial Services Group Inc,0.806451612903226
41659210,HARTFORD LIFE INC,HLI.1,hrtfrd,Hartford Life Inc,1
41690610,HARVARD BIOSCIENCE INC,HBIO,hrvbos,Harvard Bioscience Inc,1
