cusip,st_date,en_date,num_art
02313510,2018-07-26,2018-07-26,119
02313510,2018-07-27,2018-07-27,121
02313510,2018-08-29,2018-08-29,110
02313510,2018-09-04,2018-09-04,131
02313510,2018-09-05,2018-09-05,139
02313510,2018-09-12,2018-09-12,103
02313510,2018-09-14,2018-09-14,128
02313510,2018-09-17,2018-09-17,111
02313510,2018-09-18,2018-09-18,115
02313510,2018-09-19,2018-09-19,139
02313510,2018-09-20,2018-09-20,173
02313510,2018-10-02,2018-10-02,221
02313510,2018-10-03,2018-10-03,154
02313510,2018-10-04,2018-10-04,123
02313510,2018-10-05,2018-10-05,110
02313510,2018-10-10,2018-10-10,116
02313510,2018-10-11,2018-10-11,108
02313510,2018-10-15,2018-10-15,123
02313510,2018-10-16,2018-10-16,102
02313510,2018-10-24,2018-10-24,120
02313510,2018-10-25,2018-10-25,129
02313510,2018-10-26,2018-10-26,161
02313510,2018-10-29,2018-10-29,105
02313510,2018-11-01,2018-11-01,111
02313510,2018-11-05,2018-11-05,207
02313510,2018-11-06,2018-11-06,205
02313510,2018-11-07,2018-11-07,126
02313510,2018-11-08,2018-11-08,123
02313510,2018-11-13,2018-11-13,535
02313510,2018-11-14,2018-11-14,316
02313510,2018-11-15,2018-11-15,192
02313510,2018-11-16,2018-11-16,141
02313510,2018-11-19,2018-11-19,148
02313510,2018-11-20,2018-11-20,146
02313510,2018-11-21,2018-11-21,182
02313510,2018-11-26,2018-11-26,137
02313510,2018-11-27,2018-11-27,151
02313510,2018-11-28,2018-11-28,148
02313510,2018-11-29,2018-11-29,129
02313510,2018-11-30,2018-11-30,105
02313510,2018-12-03,2018-12-03,101
02313510,2018-12-04,2018-12-04,110
02313510,2018-12-05,2018-12-05,109
02313510,2018-12-06,2018-12-06,116
02313510,2018-12-13,2018-12-13,119
02313510,2018-12-14,2018-12-14,105
02313510,2018-12-21,2018-12-21,104
02313510,2019-01-09,2019-01-09,109
02313510,2019-01-10,2019-01-10,152
02313510,2019-01-24,2019-01-24,101
02313510,2019-01-31,2019-01-31,116
02313510,2019-02-01,2019-02-01,123
02313510,2019-02-07,2019-02-07,126
02313510,2019-02-08,2019-02-08,345
02313510,2019-02-11,2019-02-11,131
02313510,2019-02-12,2019-02-12,117
02313510,2019-02-13,2019-02-13,106
02313510,2019-02-14,2019-02-14,331
02313510,2019-02-15,2019-02-15,288
02313510,2019-02-19,2019-02-19,107
02313510,2019-02-22,2019-02-22,106
02313510,2019-03-01,2019-03-01,149
02313510,2019-03-05,2019-03-05,105
02313510,2019-03-06,2019-03-06,103
02313510,2019-04-04,2019-04-04,142
02313510,2019-04-11,2019-04-11,138
02313510,2019-04-23,2019-04-23,105
02313510,2019-04-25,2019-04-25,108
02313510,2019-04-26,2019-04-26,137
02313510,2019-05-14,2019-05-14,127
02313510,2019-05-15,2019-05-15,102
02313510,2019-05-28,2019-05-28,102
02313510,2019-06-03,2019-06-03,126
02313510,2019-06-04,2019-06-04,123
02313510,2019-06-05,2019-06-05,107
02313510,2019-06-06,2019-06-06,121
02313510,2019-06-07,2019-06-07,112
02313510,2019-06-11,2019-06-11,122
02313510,2019-06-25,2019-06-25,119
02313510,2019-07-08,2019-07-08,107
02313510,2019-07-09,2019-07-09,137
02313510,2019-07-10,2019-07-10,123
02313510,2019-07-11,2019-07-11,172
02313510,2019-07-12,2019-07-12,135
02313510,2019-07-15,2019-07-15,237
02313510,2019-07-16,2019-07-16,188
02313510,2019-07-17,2019-07-17,157
02313510,2019-07-18,2019-07-18,108
02313510,2019-07-23,2019-07-23,157
02313510,2019-07-24,2019-07-24,156
02313510,2019-07-25,2019-07-25,146
02313510,2019-07-26,2019-07-26,112
02313510,2019-08-01,2019-08-01,158
02313510,2019-08-02,2019-08-02,110
02313510,2019-08-07,2019-08-07,105
02313510,2019-09-18,2019-09-18,111
02313510,2019-09-19,2019-09-19,110
02313510,2019-09-25,2019-09-25,153
02313510,2019-09-26,2019-09-26,127
02313510,2019-10-24,2019-10-24,145
02313510,2019-10-25,2019-10-25,159
02313510,2019-10-28,2019-10-28,116
02313510,2019-10-29,2019-10-29,128
02313510,2019-11-14,2019-11-14,103
02313510,2019-11-15,2019-11-15,110
02313510,2019-11-22,2019-11-22,102
02313510,2019-11-26,2019-11-26,110
02313510,2019-11-29,2019-11-29,102
02313510,2019-12-02,2019-12-02,157
02313510,2019-12-03,2019-12-03,171
02313510,2019-12-04,2019-12-04,118
02313510,2019-12-05,2019-12-05,112
02313510,2019-12-09,2019-12-09,111
02313510,2019-12-10,2019-12-10,114
02313510,2019-12-16,2019-12-16,103
02313510,2020-01-22,2020-01-22,121
02313510,2020-01-23,2020-01-23,117
02313510,2020-01-31,2020-01-31,112
02313510,2020-02-10,2020-02-10,102
02313510,2020-02-11,2020-02-11,108
02313510,2020-02-13,2020-02-13,141
02313510,2020-03-12,2020-03-12,106
02313510,2020-03-17,2020-03-17,132
02313510,2020-03-20,2020-03-20,103
02313510,2020-03-31,2020-03-31,113
02313510,2020-04-13,2020-04-13,111
02313510,2020-04-15,2020-04-15,117
02313510,2020-04-16,2020-04-16,128
02313510,2020-04-30,2020-04-30,128
02313510,2020-05-01,2020-05-01,210
02313510,2020-05-28,2020-05-28,103
02313510,2020-06-11,2020-06-11,107
02313510,2020-06-16,2020-06-16,108
02313510,2020-06-23,2020-06-23,107
02313510,2020-06-29,2020-06-29,130
02313510,2020-06-30,2020-06-30,111
02313510,2020-07-10,2020-07-10,108
02313510,2020-07-14,2020-07-14,113
02313510,2020-07-15,2020-07-15,110
02313510,2020-07-24,2020-07-24,105
02313510,2020-07-29,2020-07-29,250
02313510,2020-07-30,2020-07-30,261
02313510,2020-07-31,2020-07-31,233
02313510,2020-08-10,2020-08-10,106
02313510,2020-08-18,2020-08-18,129
02313510,2020-08-19,2020-08-19,109
02313510,2020-08-21,2020-08-21,102
02313510,2020-08-27,2020-08-27,107
02313510,2020-09-01,2020-09-01,141
02313510,2020-09-14,2020-09-14,120
02313510,2020-09-15,2020-09-15,111
02313510,2020-09-17,2020-09-17,102
02313510,2020-09-23,2020-09-23,113
02313510,2020-09-24,2020-09-24,133
02313510,2020-09-30,2020-09-30,102
02313510,2020-10-01,2020-10-01,127
02313510,2020-10-02,2020-10-02,102
02313510,2020-10-06,2020-10-06,107
02313510,2020-10-07,2020-10-07,138
02313510,2020-10-13,2020-10-13,220
02313510,2020-10-14,2020-10-14,209
02313510,2020-10-21,2020-10-21,106
02313510,2020-10-27,2020-10-27,115
02313510,2020-10-29,2020-10-29,131
02313510,2020-10-30,2020-10-30,141
02313510,2020-11-10,2020-11-10,103
02313510,2020-11-12,2020-11-12,114
02313510,2020-11-17,2020-11-17,143
02313510,2020-11-18,2020-11-18,115
02313510,2020-11-30,2020-11-30,116
02313510,2020-12-01,2020-12-01,159
02313510,2020-12-02,2020-12-02,122
02313510,2020-12-03,2020-12-03,130
02313510,2020-12-07,2020-12-07,117
02313510,2020-12-10,2020-12-10,113
02313510,2020-12-15,2020-12-15,105
02313510,2020-12-16,2020-12-16,111
02313510,2020-12-17,2020-12-17,107
02553710,2007-10-09,2007-10-09,102
02581610,2013-05-04,2013-05-04,118
02687478,2005-03-15,2005-03-15,138
02687478,2005-03-29,2005-03-29,113
02687478,2005-03-30,2005-03-30,114
02687478,2005-03-31,2005-03-31,105
02687478,2005-04-04,2005-04-04,107
02687478,2008-05-09,2008-05-09,117
02687478,2008-09-15,2008-09-15,383
02687478,2008-09-16,2008-09-16,684
02687478,2008-09-17,2008-09-17,1040
02687478,2008-09-18,2008-09-18,654
02687478,2008-09-19,2008-09-19,337
02687478,2008-09-22,2008-09-22,238
02687478,2008-09-23,2008-09-23,132
02687478,2008-09-24,2008-09-24,170
02687478,2008-09-25,2008-09-25,123
02687478,2008-09-29,2008-09-29,153
02687478,2008-10-03,2008-10-03,143
02687478,2008-10-06,2008-10-06,107
02687478,2008-10-08,2008-10-08,107
02687478,2008-11-10,2008-11-10,299
02687478,2008-11-11,2008-11-11,138
02687478,2009-03-02,2009-03-02,332
02687478,2009-03-03,2009-03-03,215
02687478,2009-03-04,2009-03-04,101
02687478,2009-03-16,2009-03-16,261
02687478,2009-03-17,2009-03-17,360
02687478,2009-03-18,2009-03-18,440
02687478,2009-03-19,2009-03-19,453
02687478,2009-03-20,2009-03-20,304
02687478,2009-03-21,2009-03-21,167
02687478,2009-03-22,2009-03-22,117
02687478,2009-03-23,2009-03-23,210
02687478,2009-03-24,2009-03-24,233
02687478,2009-03-25,2009-03-25,212
02687478,2009-03-26,2009-03-26,146
02687478,2009-03-27,2009-03-27,103
02687478,2009-08-03,2009-08-03,108
03116210,2013-07-01,2013-07-01,105
