cusip,sim,comp_st_years,comp_en_years,comp_conm,factiva_comp,factiva_tag,manual_tag
63820610,0.978723404,1991,1993,NATIONAL TIRE SERVICES INC,National Tire Service Inc,ntires,ntires
64050T10,0.92,1995,2006,NEON COMMUNICATIONS GROUP,"NEON Communications Group, Inc.",blltch,blltch
64111410,0.833333333,1995,1998,NETGRAVITY INC,"NETGRAVITY (SAN MATEO,CA)",netgrv,netgrv
64120810,0.857142857,1985,2011,NETWORK EQUIPMENT TECH INC,Network Equipment Technologies Inc,neteqp,neteqp
64121Q10,0.871794872,1992,1999,NETWORK SOLUTIONS INC,Network Solutions LLC,netslo,netslo
64123410,0.80952381,1994,2002,NEUBERGER BERMAN INC,Neuberger Berman Group LLC,neub,neub
64352U10,0.9,1951,1999,NEW CENTURY ENERGIES INC,NEW CENTURY ENERGIES,pscol,pscol
64387210,0.909090909,1978,2003,NEW ENGLAND BUSINESS SVC INC,New England Business Services Inc,newebs,newebs
65333B10,0.916666667,1990,1998,NEXSTAR PHARMACEUTICALS,Nexstar Pharmaceuticals Inc,nxagen,nxagen
65333U10,0.897959184,1994,2002,NEXT LEVEL COMMUNICATION,Next Level Communications Inc,nexlev,nexlev
65343C10,0.41025641,1982,2018,NEXTGEN HEALTHCARE INC,Quality Systems Inc,qsii,
65381810,0.844444444,1986,1999,NICHOLS RESEARCH CORPORATION,NICHOLS RESEARCH CORP,nisch,nisch
65406110,0.894736842,1971,1991,NICOLET INSTRUMENT,NICOLET INSTRUMENT CORP (WS),nicin,nicin
65411N10,0.867924528,2001,2009,NIGHTHAWK RADIOLOGY HLDGS,"NightHawk Radiology Holdings, Inc.",nigrhi,nigrhi
65440D10,0.827586207,1991,1998,NINE WEST GROUP INC,NINE WEST CORP,ninew,ninew
65488910,0.862745098,1985,2010,NOBEL LEARNING CMNTYS INC,Nobel Learning Communities Inc,petrc,petrc
65822110,0.92,1973,1998,NORTH CAROLINA NATURAL GAS,NORTH CAROLINA NATURAL GAS CORP,ncng,ncng
65942410,0.837209302,1981,2005,NORTH FORK BANCORPORATION,North Fork Bancorp Inc,nfcb,nfcb
65985110,0.913043478,1982,1989,NORTH HILLS ELECTRONICS INC,NORTH HILLS ELECTRONICS,nohl,nohl
66169610,0.867924528,2000,2007,NORTH POINTE HOLDINGS CORP,North Pointe Holdings Corporation,npoihc,npoihc
66405S10,0.827586207,1987,2018,NORTHEAST BANK,Northeast Bancorp,bthcor,
66580910,0.727272727,1990,2018,NORTHERN TECH INTL,Northern Technologies International Corp,nonisc,nonisc
66680710,,,,NORTHROP GRUMMAN CORP,Northrop Grumman Corporation,nrthrp,nrthrp
66836720,0.904761905,1960,2000,NORTHWESTERN STL&WIRE,Northwestern Steel & Wire Co,nsw,nsw
66979110,0.9,1984,1991,NOVA PHARMACEUTICAL CORP,NOVA PHARMACEUTICAL,novp,novp
66987010,0.923076923,1979,2000,NOVAMETRIX MEDICAL SYSTEMS,Novametrix Medical Systems Inc,noms,noms
67019U10,0.714285714,1974,2002,NTELOS INC,NTELOS Holdings Corp,cfwcm,cfwcm
67060L10,0.888888889,1986,1992,NUTMEG INDUSTRIES INC,Nutmeg Industries,nutmeg,nutmeg
67061Y10,0.739130435,1991,2009,NUTRITION MGMT SVCS,Nutrition Management Services Co,numman,numman
67076810,0.72,1984,1996,NYNEX CORP,NYNEX CORPORATION,nyn,nyn
67109R10,0.75,2016,2018,OP BANCORP,Hope Bancorp Inc.,naraba,
67478610,0.941176471,1962,1990,OCEAN DRILLING & EXPLORATION,OCEAN DRILLING AND EXPLORATION,ocdril,ocdril
67523210,0.882352941,1975,2018,OCEANEERING INTERNATIONAL,Oceaneering International Inc,oceint,oceint
68198910,0.92,2001,2007,OMRIX BIOPHARMACEUTICALS,Omrix Biopharmaceuticals Inc,omri,omri
68267P10,0.833333333,1998,1999,ONEMAIN.COM INC,ONEMAIN COM,onemn,onemn
68268W10,0.808510638,1983,2018,ONEMAIN HOLDINGS INC,OneMain Financial Holdings Inc,ctifin,ctifin
68382910,0.857142857,1965,1999,OPTICAL COATING LAB INC,OPTICAL COATING LABORATORY INC,ocli,ocli
68384820,0.909090909,1988,1998,OPTICAL SECURITY GROUP,OPTICAL SECURITY GROUP INC,tslinc,tslinc
68389X10,0.740740741,1984,2018,ORACLE CORP,Oracle Corporation,orcle,orcle
68402T10,0.740740741,2002,2007,OPTIUM CORP,Optium Corporation,optiuc,optiuc
68556810,0.714285714,1994,1998,ORCAD INC,ORCAD,ocad,ocad
68589910,0.904761905,1960,1997,OREGON METALLURGICAL CORP,OREGON METALLURGICAL,ometal,ometal
68628550,0.866666667,1960,1994,ORION PICTURES CORP,ORION PICTURES,opict,opict
68628K10,0.901960784,1990,1997,ORION NETWORK SYSTEMS INC,LORAL ORION NETWORK SYSTEMS INC,ornsat,
68738010,0.925925926,2001,2018,ORRSTOWN FINANCIAL SVCS INC,Orrstown Financial Services Inc,rstnfn,rstnfn
68826010,0.909090909,1970,2000,OSHMANS SPORTING GOODS,OSHMAN'S SPORTING GOODS INC,osmn,osmn
69002720,0.93877551,1989,2012,OUTDOOR CHANNEL HLDGS INC,Outdoor Channel Holdings Inc,glbrs,glbrs
69283050,0.857142857,1962,2018,P & F INDUSTRIES,P&F Industries Inc,pfin,pfin
69314910,0.84,1985,2018,P.A.M. TRANSPORTATION SVCS,P.A.M. Transportation Services Inc,pamt,pamt
69323K10,0.823529412,1994,2018,PCM INC,PC Mall Inc,crcoci,crcoci
69324R10,0.829268293,2015,2018,PCSB FINANCIAL CORP,PCSB Financial Corporation,guumti,guumti
69366Y10,0.733333333,1986,2006,PW EAGLE INC,PW Eagle Incorporated,rath,rath
69390520,0.882352941,1978,2003,PACER TECHNOLOGY,Pacer Technology Inc,patec,patec
69480610,0.944444444,1969,1997,PACIFIC SCIENTIFIC CO,PACIFIC SCIENTIFIC,pacsci,pacsci
69486410,0.95,2003,2009,PACIFIC STATE BANCORP/CA,Pacific State Bancorp CA,pssban,pssban
